point,effort_hours,intensity_volume,no_trees_logged
lo01,1080,65.364391,11
lo02,720,62.24,11
lo03,936,41.947098,5
lo04,720,40.77,2
lo05,936,39.299196,4
lo06,720,39.04,7
lo07,936,37.381459,8
lo08,1200,37.162333,9
lo09,936,36.58115,7
lo10,720,33.81,5
lo11,720,33.22,5
lo12,1008,33.096148,7
lo13,936,32.000322,4
lo14,720,31.84,4
lo15,720,30.49,5
lo16,936,30.275026,5
lo17,1080,29.905262,5
lo18,936,29.885052,7
lo19,720,27.88,4
lo20,936,22.341723,3
lo21,936,19.122804,4
lo22,720,18.32,4
lo23,720,17.38,4
lo24,1296,16.52977,3
lo25,936,16.130211,4
lo26,720,15.91,3
lo27,720,15.56,3
lo28,1248,14.858217,3
lo29,720,14.65,2
lo30,720,12.65,3
lo31,720,8.29,3
lo32,720,6.36,1
lo33,720,5.58,1
lo34,720,4.79,1
lo35,720,4.77,1
lo36,720,3.94,1
lo37,720,3.05,1
ul01,720,0,0
ul02,720,0,0
ul03,720,0,0
ul04,720,0,0
ul05,720,0,0
ul06,720,0,0
ul07,720,0,0
ul08,720,0,0
ul09,1032,0,0
ul10,936,0,0
ul11,1080,0,0
ul12,1080,0,0
ul13,984,0,0
ul14,888,0,0
ul15,1080,0,0
ul16,1080,0,0
ul17,1080,0,0
ul18,1080,0,0
ul19,984,0,0
ul20,936,0,0
lo38,720,0,0
lo39,720,0,0
lo40,720,0,0